"Argument ID";"Conclusion";"Stance";"Premise";"Self-direction: thought";"Self-direction: action";"Stimulation";"Hedonism";"Achievement";"Power: dominance";"Power: resources";"Face";"Security: personal";"Security: societal";"Tradition";"Conformity: rules";"Conformity: interpersonal";"Humility";"Benevolence: caring";"Benevolence: dependability";"Universalism: concern";"Universalism: nature";"Universalism: tolerance";"Universalism: objectivity"
"A21398";"We should fight for the abolition of nuclear weapons";"against";"Rather than advocate for the abolition of nuclear weapons, it would be preferable if there was more nuclear proliferation, as more countries with nuclear weapons increases their deterrent effect.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21454";"We should ban factory farming";"against";"factory farming is one way to ensure we have enough food for our citizen and it should not be banned.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A21115";"We should legalize cannabis";"against";"cannabis is a hallucinogenic product that can harm a persons memory, lower their inhibitions and cause a person to make dangerous choices and is addictive. all of these behaviors can be destructive.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A12168";"We should subsidize stay-at-home dads";"in favor of";"by subsidizing  stay-at-home dads we will improve the quality of the family life, giving the women a right to pursue a career";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A15018";"We should ban targeted killing";"in favor of";"targeted killing should be banned because the individual doesn't stand a chance against government hired hitmen. instead, a fair trial should be carried out.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23014";"Payday loans should be banned";"against";"Instead of banning payday loans, we should require them to assess the ability of individuals to repay, which would avoid the overarching problem of these loans creating cycles of debt.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20149";"The use of public defenders should be mandatory";"against";"the traditional right to choose your own defender to represent you has worked well for centuries and should never be changed.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18320";"Blockade of the Gaza Strip should be ended";"in favor of";"It is unjust to punish civilians for the actions of military actors.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23471";"We should legalize prostitution";"in favor of";"some women have no other way to support themselves and their children";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"D27014";"The Sabarimala verdict is progressive and not a threat to traditions";"in favor of";"Some other temples also ban women, and some temples ban men. If it is the same situation with Sabarimala, people wouldn't have bothered about it. But treating menstruation as impure and banning women of reproductive age is regressive and need to address. Menstruation is just a biological process. Not allowing menstruating women in temples sends a wrong message to people and future generations.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A24054";"We should ban the Church of Scientology";"against";"freedom of religion should allow the church of scientology to keep operating";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20435";"We should limit judicial activism";"against";"judicial activism can be useful to prevent truly bad people who abuse the letter of the law to skirt punishment.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A19403";"We should ban the use of child actors";"in favor of";"child actors grow up to be disfunctional adults because they are missing out on all of the social interaction children need with each other to learn the process of interaction with people their own age.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22248";"We should ban human cloning";"against";"cloning would have strict regulations on how to handle clones and ethical dilemmas. scientific advancements made while working towards cloning can advance the human race.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"C26087";"We should vigorously develop the countryside.";"in favor of";"Unemployment and urbanization when combined are slums and instability, so the rural areas need to be allowed to absorb the unemployed.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18093";"We should abolish intellectual property rights";"in favor of";"intellectual property rights create a monopoly position for a company which enables them to charge whatever they like for a product without fear of competition. it prices the poor out of markets";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A23176";"We should subsidize vocational education";"against";"Subsidizing vocational education will lead to it becoming as esoteric and non-productive as liberal arts education.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A18168";"We should prohibit flag burning";"against";"flag burning is a means of expression and should be allowed under freedom of speech.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A20356";"We should subsidize embryonic stem cell research";"against";"the government doesnt need to be in control of science";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A22396";"We should prohibit flag burning";"against";"flag burning is a freedom  that is guaranteed by the first amendment";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
